id,text,timestamp,replyCount,retweetCount,likeCount,quoteCount,viewCount
1647712404543791107,,,,,,,70
1647655792647057412,,,,,,,169
1647580537131868162,,,,,,,54
1647348954567147520,,,,,,,58
1647279298745708546,,,,,,,87
1647199320066727937,,,,,,,127
1646958095304740875,,,,,,,113
1646816715219632129,,,,,,,65
1646100552676261890,,,,,,,95
1644704946967773184,,,,,,,110
1644644650953613312,,,,,,,101
1644483095507206145,,,,,,,82
1644472336257515520,,,,,,,94
1644156068778344448,,,,,,,132
1644155477515812864,,,,,,,120
1644088266289758209,,,,,,,104
1643956591350235137,,,,,,,61
1643939065958416385,,,,,,,79
1643687437451894803,,,,,,,76
1643257259466665985,,,,,,,75
1642800217375363074,,,,,,,82
1642729465171046400,,,,,,,121
1641940758671368192,,,,,,,61
1641363574416109568,,,,,,,72
1641132214317350929,,,,,,,77
1641119481735921667,,,,,,,68
1641051159103262720,,,,,,,59
1641010729036787714,,,,,,,58
1640653757774983170,,,,,,,66
1640450406533701635,,,,,,,62
1640358284811968513,,,,,,,64
1640357760070983686,,,,,,,66
1640315664031264771,,,,,,,112
1639949425534533633,,,,,,,85
1638729798217519105,,,,,,,89
1638315429310414848,,,,,,,100
1637990328736071680,,,,,,,111
1637782437613776901,,,,,,,112
1637573808491048962,,,,,,,94
1637511373537067009,,,,,,,109
1637422918408830982,,,,,,,99
1637100340569862146,,,,,,,92
1637099206526500865,,,,,,,93
1636750124251586562,,,,,,,81
1636672610690891778,,,,,,,84
1636575538276868100,,,,,,,62
1635941488939941888,,,,,,,105
1635773227623501824,,,,,,,104
1635723003240611843,,,,,,,107
1635591592831598593,,,,,,,79
1635300908606312449,,,,,,,143
1635295478593245191,,,,,,,86
1635268404981514241,,,,,,,93
1634455005049634816,,,,,,,82
1634197091432923138,,,,,,,96
1633771039804076034,,,,,,,78
1633485430220791809,,,,,,,102
1633152606716456966,,,,,,,111
1632699241251438593,,,,,,,146
1632410422413258752,,,,,,,105
1632074122283872256,,,,,,,137
1632039980292792320,,,,,,,96
1631443210370273281,,,,,,,112
1631278882753003522,,,,,,,97
1631045663981961218,,,,,,,78
1630866370631020545,,,,,,,79
1630619786056024096,,,,,,,88
1630360248807575552,,,,,,,86
1630324046444331008,,,,,,,95
1630287666901073920,,,,,,,100
1629738019606470656,,,,,,,113
1629436101067718656,,,,,,,111
1628812268849840129,,,,,,,80
1628726483945418758,,,,,,,102
1628508976001216523,,,,,,,77
1628355672797593603,,,,,,,83
1627750071541370881,,,,,,,96
1627703597600235522,,,,,,,109
1627702901358436355,,,,,,,83
1627652686907572225,,,,,,,100
1627619284204638210,,,,,,,98
1624786045156880390,,,,,,,158
1624463230528618497,,,,,,,186
1623633967462203392,,,,,,,141
1623428586853072910,,,,,,,131
1623025455501565952,,,,,,,143
1622726939650805766,,,,,,,131
1622679186795073551,,,,,,,117
1622277775942901763,,,,,,,146
1622213865147703297,,,,,,,200
1622207892291043328,,,,,,,128
1622022105796591616,,,,,,,121
1621790775057997825,,,,,,,117
1621498007375196161,,,,,,,119
1620994680816111617,,,,,,,127
1620961329938046976,,,,,,,98
1620957811122356224,,,,,,,88
1620763642651107328,,,,,,,116
1620758934960197632,,,,,,,109
1620717819263434752,,,,,,,112
1620205932734025728,,,,,,,80
1620136713006751753,,,,,,,106
1619786105024282630,,,,,,,119
1619776354391662594,,,,,,,113
1619672970678394881,,,,,,,115
1619559513715081216,,,,,,,95
1618950555249803265,,,,,,,117
1618773802938155009,,,,,,,84
1618743862326956037,,,,,,,94
1617949440748261382,,,,,,,107
1617651689145647106,,,,,,,137
1617542739503063041,,,,,,,85
1617515326022815744,,,,,,,101
1617412033586028546,,,,,,,171
1617169836781572097,,,,,,,135
1616584562481528833,,,,,,,91
1616435800513683456,,,,,,,108
1616403607477260289,,,,,,,86
1615430845124296704,,,,,,,102
1614993001645744128,,,,,,,116
1614908500869537792,,,,,,,113
1614721692143599619,,,,,,,167
1614605491484721153,,,,,,,178
1614579582878851072,,,,,,,119
1613984821247676437,,,,,,,165
1613960776623980554,,,,,,,130
1613578904786145291,,,,,,,216
1613256233091211280,,,,,,,134
1612882489969614849,,,,,,,144
1612882003526881298,,,,,,,155
1612721600134107137,,,,,,,99
1612608221872521216,,,,,,,133
1612544062308978689,,,,,,,171
1611467476411338753,,,,,,,141
1611068729269358618,,,,,,,112
1610932196847525888,,,,,,,142
1610277584197017601,,,,,,,116
1610030097335025666,,,,,,,137
1609186552390852610,,,,,,,128
1609154976126836736,,,,,,,107
1609129002744045572,,,,,,,98
1608621046701211648,,,,,,,103
1608595632456978432,,,,,,,125
1608167185096085504,,,,,,,160
1607789986354548736,,,,,,,107
1607586031477432323,,,,,,,116
1607512592934748163,,,,,,,116
1607473998593392640,,,,,,,130
1606230092404908032,,,,,,,127
1606226460250882048,,,,,,,140
1605531065287852034,,,,,,,113
1605394986849239040,,,,,,,108
1604930217625149446,,,,,,,138
1604919006699425792,,,,,,,106
1604912386653257730,,,,,,,101
1604873719159160834,,,,,,,98
1604869397922942978,,,,,,,150
1604857540344528897,,,,,,,98
1604520183766601730,,,,,,,117
1604484405891928064,,,,,,,115
1604393550657077248,,,,,,,106
1604181777169682433,,,,,,,121
1604163920754839554,,,,,,,118
1603929021032570880,,,,,,,98
1603922342605987843,,,,,,,87
1603518836749344768,,,,,,,94
1603466061227167750,,,,,,,117
1603158757525045250,,,,,,,None
1603136396273012736,,,,,,,None
1603127043478409216,,,,,,,None
1603004764299698176,,,,,,,None
1602808138742304769,,,,,,,None
1602754039741288448,,,,,,,None
1602423443550511104,,,,,,,None
1602104034302853120,,,,,,,None
1601952406090170370,,,,,,,None
1601642712649928705,,,,,,,None
1601640394093170690,,,,,,,None
1601195129301237762,,,,,,,None
1601195001366601729,,,,,,,None
1600849254980980739,,,,,,,None
1600793078679355395,,,,,,,None
1600783786849062912,,,,,,,None
1600487222620426240,,,,,,,None
1600259866710495244,,,,,,,None
1600083528997289987,,,,,,,None
1599943884825657349,,,,,,,None
1599849200157659138,,,,,,,None
1599769970170368000,,,,,,,None
1599697275680444417,,,,,,,None
1599552101893406720,,,,,,,None
1599532081641660416,,,,,,,None
1599482159168905216,,,,,,,None
1599372418719842307,,,,,,,None
1599148620342861824,,,,,,,None
1599053579406426112,,,,,,,None
1598865877960736769,,,,,,,None
1598219330386333696,,,,,,,None
1598007304334475270,,,,,,,None
1597943359678578688,,,,,,,None
1597871132820099072,,,,,,,None
1597295066925699073,,,,,,,None
1597240767692656640,,,,,,,None
1597238453258928128,,,,,,,None
1597218164357693440,,,,,,,None
1597018684484358144,,,,,,,None
1596982227358945282,,,,,,,None
1596977360796282880,,,,,,,None
1596891127420186626,,,,,,,None
1596853963663740928,,,,,,,None
1596635053202833409,,,,,,,None
1596608895463604227,,,,,,,None
1596378436393574400,,,,,,,None
1596236083611959297,,,,,,,None
1596228369167028224,,,,,,,None
1596205222518718464,,,,,,,None
1595775629269401600,,,,,,,None
1595448910369419265,,,,,,,None
1595405084959064068,,,,,,,None
1595096557740646410,,,,,,,None
1595036729378865154,,,,,,,None
1594683318494076928,,,,,,,None
1594415243756568578,,,,,,,None
1594280930449190913,,,,,,,None
1594280291581202432,,,,,,,None
1594258145634930688,,,,,,,None
1593596787096702977,,,,,,,None
1593591132331855873,,,,,,,None
1593249655298854913,,,,,,,None
1593103423062294528,,,,,,,None
1592962618876100613,,,,,,,None
1592888506493419525,,,,,,,None
1592886024899858433,,,,,,,None
1592639378718760960,,,,,,,None
1592219140248555522,,,,,,,None
1592151481330835456,,,,,,,None
1592119035973730305,,,,,,,None
1591991672254111751,,,,,,,None
1591798999044038657,,,,,,,None
1591790014882799616,,,,,,,None
1591592266484916225,,,,,,,None
1591209737621684224,,,,,,,None
1591151561048477697,,,,,,,None
1591138073907466241,,,,,,,None
1590975747824443392,,,,,,,None
1590824390710943744,,,,,,,None
1590480378216652800,,,,,,,None
1590373245227761666,,,,,,,None
1590348273155739649,,,,,,,None
1590341987336564742,,,,,,,None
1590214559935217664,,,,,,,None
1588767442293198848,,,,,,,None
1588710018727165953,,,,,,,None
1588707873848459268,,,,,,,None
1588375194267275265,,,,,,,None
1588195182561869825,,,,,,,None
1587808665674940417,,,,,,,None
1587759721024471040,,,,,,,None
1587217627184865281,,,,,,,None
1586848650361192450,,,,,,,None
1586829812978667520,,,,,,,None
1586780429088018432,,,,,,,None
1586772594530861058,,,,,,,None
1586722326967713794,,,,,,,None
1586714120706981890,,,,,,,None
1586668398926303234,,,,,,,None
1586666465129910275,,,,,,,None
1586666341829836800,,,,,,,None
1586655586741108736,,,,,,,None
1586485740816531458,,,,,,,None
1586454823150419968,,,,,,,None
1586295558926487552,,,,,,,None
1585373159838126101,,,,,,,None
1585342456744247321,,,,,,,None
1584993472297189378,,,,,,,None
1584899458374012928,,,,,,,None
1584250987069349888,,,,,,,None
1583944841896992768,,,,,,,None
1583888180096290816,,,,,,,None
1583493107559337984,,,,,,,None
1583173962259124224,,,,,,,None
1583067704021221377,,,,,,,None
1582767166457118725,,,,,,,None
1582743701364908039,,,,,,,None
1582698443515887617,,,,,,,None
1582655634369134594,,,,,,,None
1582505514742718464,,,,,,,None
1582488281727369216,,,,,,,None
1582370056096206848,,,,,,,None
1582361941393408001,,,,,,,None
1582173836958920705,,,,,,,None
1582077715188183040,,,,,,,None
1581981744747941888,,,,,,,None
1581949025363714050,,,,,,,None
1581735479799873536,,,,,,,None
1581586358518583303,,,,,,,None
1581471143759790082,,,,,,,None
1581263277853937664,,,,,,,None
1581253655688204288,,,,,,,None
1580884024297328641,,,,,,,None
1580578897259040768,,,,,,,None
1580495586159374338,,,,,,,None
1580288407577587713,,,,,,,None
1579852089521340416,,,,,,,None
1579784696929452033,,,,,,,None
1579728870508359682,,,,,,,None
1579590574063374336,,,,,,,None
1579581548487409665,,,,,,,None
1579571083866669056,,,,,,,None
1579367741676748801,,,,,,,None
1579175830819065856,,,,,,,None
1578799273218826241,,,,,,,None
1578339127929573377,,,,,,,None
1578334355306545154,,,,,,,None
1578316372244930561,,,,,,,None
1578135965134200840,,,,,,,None
1578085737534193664,,,,,,,None
1578034039927496705,,,,,,,None
1577998449374535681,,,,,,,None
1577803917265698817,,,,,,,None
1577750884213309453,,,,,,,None
1577619854521245699,,,,,,,None
1577616191417454597,,,,,,,None
1577259257753468929,,,,,,,None
1576990564540715025,,,,,,,None
1576881358387003393,,,,,,,None
1576677820000075781,,,,,,,None
1576666581882519555,,,,,,,None
1576648008695009282,,,,,,,None
1576267488215588865,,,,,,,None
1576102193383591936,,,,,,,None
1575915043597828109,,,,,,,None
1575699211546509314,,,,,,,None
1575545862738087945,,,,,,,None
1574876520308690944,,,,,,,None
1574665102019764224,,,,,,,None
1574391051569319936,,,,,,,None
1574372996218818563,,,,,,,None
1573780009608781825,,,,,,,None
1573694148972089346,,,,,,,None
1573554899580764160,,,,,,,None
1573103948457803777,,,,,,,None
1573043844286906373,,,,,,,None
1572913465978765313,,,,,,,None
1572714046176239616,,,,,,,None
1572605177022005252,,,,,,,None
1572564350610853890,,,,,,,None
1572256692141711367,,,,,,,None
1572107232241754112,,,,,,,None
1571950948284600322,,,,,,,None
1571936784782589952,,,,,,,None
1571893852461764608,,,,,,,None
1571870514741641217,,,,,,,None
1571865520315703297,,,,,,,None
1571760521241567233,,,,,,,None
1571617410116997125,,,,,,,None
1571419075762589696,,,,,,,None
1571287316102057987,,,,,,,None
1571047312985837571,,,,,,,None
1570799430525390848,,,,,,,None
1570514805643161606,,,,,,,None
1570148776190578688,,,,,,,None
1570114631485587457,,,,,,,None
1570041037133058049,,,,,,,None
1569741726834724865,,,,,,,None
1569738204554616833,,,,,,,None
1569301758677057539,,,,,,,None
1569272622008999937,,,,,,,None
1569247194280038401,,,,,,,None
1569198186815700993,,,,,,,None
1569031363768074241,,,,,,,None
1568925031220092929,,,,,,,None
1568808914946326528,,,,,,,None
1568739554345259008,,,,,,,None
1568667152193814531,,,,,,,None
1568664907591172101,,,,,,,None
1568547027016974338,,,,,,,None
1568507890339545090,,,,,,,None
1568361634166611970,,,,,,,None
1568294277460918280,,,,,,,None
1568206478124761088,,,,,,,None
1567991661719855104,,,,,,,None
1567874377697427457,,,,,,,None
1567568199473823747,,,,,,,None
1567551996604944384,,,,,,,None
1567438775311106049,,,,,,,None
1567157549442408449,,,,,,,None
1567155799784398850,,,,,,,None
